Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1,50,63,79.4,887,361,21,25,84,24,29,82.8,4,7,57.1,0,0,0,0,0,8,0,0,8,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,36.2,50.8,71.2,542.3,146.2,18.5,23.1,80,16.2,23.1,70,0.77,3.08,25,0,0,0,0,0.77,1.54,0,0,4.62,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,24.3,41.4,58.6,382.9,157.1,15.7,20,78.6,5.71,10,57.1,2.86,10,28.6,0,0,0,0,0,0,0,0,2.86,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0,0,0,0,2,0,0,4,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0,2,2,100,41,0,0,0,,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,38.1,43.9,86.7,691.5,209,12.8,13.9,91.9,22.9,25,91.6,2,4.17,47.9,0,0.01,0.03,-0.01,0.17,2.43,0,0,1.91,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,43.4,52.9,82.1,685,190.9,22.5,25.5,88,16.8,19.4,86.8,2.59,4.78,54.3,0.03,0.1,0.12,-0.07,1.23,5.41,1.2,0.09,6.55,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,49.6,54.8,90.4,873.6,275.8,20.5,21.8,94.2,25.4,27.3,93.1,2.84,4.63,61.4,0,0,0.02,0,0,4.32,0.11,0,5.47,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,32.4,43.7,74,510.6,174.3,17.4,20.3,85.7,12.1,15.8,76.7,2.13,4.65,45.8,0.13,0.12,0.11,0.01,1.29,1.23,1.35,0.45,2.71,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,51.3,59.1,86.8,767.8,160,28.3,30,94.2,21.3,23.9,89.1,0.87,2.61,33.3,0.43,0.09,0.09,0.35,0.87,1.74,1.74,0.87,3.91,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,23,33.7,46.6,72.5,560.8,219.4,16.7,19.1,87.7,13.7,17.4,78.6,2.52,6.87,36.7,0,0.04,0.07,-0.04,0.7,2.48,0.78,0.57,3.35,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,12.4,21,59,234.5,92.1,4.14,6.9,60,4.14,6.55,63.2,2.76,4.48,61.5,0,0,0.03,0,0.34,2.41,0.69,0,2.07,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,10,10,100,210,70,0,0,,10,10,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,11.4,17.5,65.2,167,31.7,6.01,8.31,72.3,3.86,5.19,74.4,0.65,1.23,52.6,0.06,0.12,0.11,-0.06,0.88,0.75,0.49,0.13,1.56,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,46.9,55.8,84.1,690.5,288.8,27.7,30.2,91.5,15,17.4,86.2,2.73,4.55,60,0.08,0.09,0.19,-0.01,0.91,3.72,0.91,0.17,5.45,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,10.5,16.5,63.3,132.2,35.7,6.87,9.15,75.1,2.65,4.45,59.6,0.28,0.71,40,0.09,0.08,0.09,0.02,0.57,0.76,0.47,0.19,1.04,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,26.2,34.3,76.6,585.4,210.6,6.57,7.08,92.8,15.4,16.8,91.5,4.16,9.42,44.2,0.04,0.01,0.01,0.03,0.29,2.45,0.36,0.07,2.88,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0,1,3,33.3,44,32,0,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0,1,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,11.6,16.9,68.8,149.3,40.8,7.18,9.47,75.8,3.51,5.65,62.2,0.23,0.46,50,0.31,0.17,0.1,0.14,1.07,0.99,0.76,0,1.98,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,40,60,66.7,550,190,20,30,66.7,20,20,100,0,10,0,0,0,0,0,0,0,0,0,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19,63.2,68.3,92.5,1172.6,324.1,21.4,22.8,93.5,36.7,38.3,95.9,4.37,5.58,78.3,0.05,0.03,0.07,0.02,0.47,3.11,0.42,0.26,3.26,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,1.9,54.7,65.3,83.9,1065.8,371.1,15.3,16.8,90.6,33.2,35.8,92.6,5.79,10.5,55,0,0,0,0,0,3.16,0,0,4.21,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,13.3,18,74.1,222.7,32,6,8,75,4.67,6,77.8,2,3.33,60,0,0,0,0,0,2,0.67,0,3.33,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,9.41,15,62.6,129.4,16.6,6.05,8.49,71.3,2.69,4.12,65.3,0.25,0.84,30,0.08,0.08,0.01,0,1.01,0.67,0,0,0.5,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,29.5,14,18.9,74.3,221.4,40.1,7.49,9.59,78.1,4.54,5.69,79.8,1.25,1.8,69.8,0.1,0.07,0.1,0.03,0.88,1.08,0.24,0,1.36,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,21.8,41.4,49,84.4,657,161.7,20,22.4,89.4,18,20.3,88.7,1.74,2.98,58.5,0.14,0.05,0.04,0.09,0.83,3.07,0.18,0.05,3.49,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,17.2,11.5,18.1,63.5,138.1,18.4,7.21,10.5,68.9,2.79,4.07,68.6,0.12,0.35,33.3,0.12,0.14,0.11,-0.02,0.99,0.41,0.47,0,0.81,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,15.7,68.7,75.4,91.1,1261.5,455,25.9,27.1,95.5,38.4,40.5,94.8,4.2,6.94,60.6,0.06,0.01,0.01,0.05,0.06,3.95,0.06,0,2.68,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,0.3,26.7,33.3,80,460,36.7,10,10,100,10,13.3,75,3.33,6.67,50,0,0,0,0,0,3.33,0,0,0,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,15.9,18.7,25.2,74.3,275.2,55.9,10.3,12.7,81.2,6.23,7.74,80.5,1.01,1.45,69.6,0.38,0.38,0.26,0,1.76,0.63,1.19,0.13,1.76,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,12.2,23.8,31.3,75.9,340,67.2,15.3,17.8,86.2,6.64,8.93,74.3,1.31,2.38,55.2,0.16,0.2,0.23,-0.04,1.31,0.41,1.39,0.49,1.48,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,8.5,31.4,42.4,74.2,397.5,84.8,20,23.8,84.2,8.47,11.6,72.7,0.71,2.24,31.6,0,0.08,0.22,-0.08,1.29,1.06,1.76,0.47,2.82,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,13.7,52.4,65,80.7,1025.5,335.9,21.8,24.2,90.1,21.2,24.2,87.9,8.47,14.1,60.1,0.44,0.18,0.16,0.26,1.68,6.13,1.17,0.29,7.52,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,37,1987,19,24.9,32.6,76.6,642.4,437.3,3.89,4,97.4,13.9,14.1,98.9,7.05,14.2,49.8,0,0,0,0,0,0.21,0,0,0,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,0,1,3,33.3,21,19,0,1,0,1,2,50,0,0,,0,0,0,0,0,0,0,0,1,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18,2006,0.5,30,40,75,510,104,16,20,80,10,12,83.3,4,4,100,0,0,0,0,0,2,2,0,2,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,8,45.8,52.4,87.4,817.1,181.5,20.6,22.4,92.2,19.1,21.1,90.5,5.13,6.63,77.4,0,0.05,0.07,-0.05,1,5.13,0.63,0.25,4.13,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,18.2,17.6,25.3,69.4,305.3,69.8,8.13,10.2,80,7.09,9.07,78.2,1.92,3.02,63.6,0.05,0.21,0.2,-0.15,1.15,1.26,0.77,0.55,1.76,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,15.7,54.5,63.8,85.4,1104.7,395.1,17.6,19,92.3,29.7,31.9,93,6.82,11.5,59.1,0,0.01,0.02,-0.01,0.25,2.55,0.06,0,1.97,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,14,57.9,65.9,87.9,1180.1,497.3,20.9,22.6,92.7,28.6,29.8,95.9,7.86,12.4,63.2,0,0.02,0.02,-0.02,0.57,5.07,0.29,0.07,5.5,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,0.1,20,30,66.7,320,0,10,10,100,10,20,50,0,0,,0,0,0,0,10,0,0,0,0,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,2005,3.3,17.6,24.2,72.5,225.2,55.2,11.2,13,86,5.45,7.27,75,0.3,1.21,25,0,0.06,0.12,-0.06,0.91,1.21,1.21,0.61,1.82,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,13.4,21,30.7,68.4,573.2,431.1,3.43,3.43,100,12.3,12.3,100,5.22,14.6,35.7,0,0,0,0,0,0.07,0,0,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,23.5,42.9,52.6,81.5,679.1,232.3,23.2,25.6,90.7,15.2,18.1,84,3.36,6.04,55.6,0.13,0.11,0.07,0.02,1.15,5.36,0.81,0.13,5.74,Matches
45,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,1999,19.5,33.6,42.2,79.7,530.8,177.2,17.2,19.4,88.7,12.5,15.3,81.9,2.56,4.15,61.7,0,0.09,0.13,-0.09,1.03,1.85,1.13,0.62,2.21,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,4.9,39.4,50.6,77.8,764.9,242.2,12.9,16.5,77.8,20.2,23.7,85.3,5.71,8.16,70,0.2,0.12,0.08,0.08,0.82,6.33,1.63,0.61,7.55,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,0.1,10,10,100,340,0,0,0,,0,0,,10,10,100,0,0,0,0,0,0,0,0,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,19.6,61.9,70.9,87.3,1205.9,426.8,22.3,23.6,94.8,31.5,33.8,93.4,7.35,11.7,62.9,0,0.01,0.02,-0.01,0.26,4.44,0.15,0.05,3.83,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31,1993,12.5,54.2,67.4,80.3,761.8,329.2,34.4,39,88.3,14.7,19,77.3,2.72,4.32,63,0.16,0.15,0.11,0.01,0.88,3.52,1.68,0.48,5.92,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22,2002,0.6,28.3,36.7,77.3,443.3,55,13.3,18.3,72.7,15,15,100,0,3.33,0,0,0,0,0,0,3.33,0,0,1.67,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16,2008,3,17,25.3,67.1,289.3,99.7,8,10.7,75,8,11.3,70.6,1,2.33,42.9,0,0.03,0.03,-0.03,0.67,0,0,0,1,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22,2001,0.5,20,26,76.9,250,42,14,14,100,4,8,50,0,0,,0,0,0,0,0,2,0,0,2,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,21.8,29.5,35,84.3,467.1,123.3,14.7,16.6,88.6,13.2,14.8,89.1,0.96,2.16,44.7,0,0.05,0.03,-0.05,0.46,2.11,0.32,0,3.12,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,6.5,51.8,58.2,89.2,1083.7,387.4,12.3,13.4,92,33.1,34.8,95.1,6.31,9.69,65.1,0,0,0.02,0,0,1.38,0.31,0,2.15,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,0,6,7,85.7,126,81,1,1,100,5,5,100,0,0,,0,0,0,0,0,0,0,0,1,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19,2005,1.4,12.1,20.7,58.6,167.1,66.4,8.57,12.1,70.6,2.86,5,57.1,0.71,2.14,33.3,0,0,0,0,0.71,1.43,0.71,0,3.57,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27,1996,33.3,29.8,40.6,73.5,461.6,189.1,15.9,18,88.6,11.2,15.1,74.5,1.71,4.98,34.3,0.03,0.04,0.07,-0.01,0.48,2.55,0.69,0.33,3.21,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23,2001,34.5,42,49.9,84.2,575,171.8,26,27.8,93.5,12.6,14.5,87.2,1.39,3.42,40.7,0.2,0.16,0.12,0.04,1.33,2.23,0.87,0.29,3.13,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,0.1,40,40,100,740,180,10,10,100,30,30,100,0,0,,0,0,0,0,0,0,0,0,10,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,16,31.5,40.3,78.3,491.8,176.9,16.3,18.7,87,12.4,15.5,80.2,1.69,3.38,50,0,0.07,0.03,-0.07,0.5,2.75,0.44,0.25,3.5,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,27.7,16.7,24.2,68.9,251.4,35,9.17,12.8,71.8,5.31,7.15,74.2,1.26,1.73,72.9,0.07,0.11,0.06,-0.04,1.26,1.05,0.4,0.04,1.48,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29,1995,22.4,72.9,77.9,93.6,1207.4,338.3,34.6,36.3,95.6,33.8,35.5,95.2,3.75,5.04,74.3,0,0.02,0.06,-0.02,0.4,7.9,0.49,0.09,7.05,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,5.6,48.9,62.1,78.7,830,297.7,21.8,25.7,84.7,24.5,27.1,90.1,2.32,6.96,33.3,0,0.02,0.02,-0.02,0.36,3.21,0.18,0,5.18,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,7.5,67.9,72.3,93.9,1109.5,393.3,33.1,33.7,98,31.6,32.5,97.1,2.67,4.53,58.8,0,0,0.03,0,0.13,5.6,0.13,0,6.67,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,2004,6.5,20.9,28.5,73.5,332.5,82.2,11.7,13.5,86.4,7.08,9.69,73,1.23,2.15,57.1,0,0.15,0.26,-0.15,1.38,0.77,1.23,0.31,1.85,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,28,33.2,41,81,487.2,145.1,18.8,20.5,91.7,12.1,14.4,83.9,1.25,3.86,32.4,0.11,0.09,0.09,0.02,0.75,1.5,0.71,0.43,3.07,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22,2002,26.7,37,45.5,81.3,520.1,153.5,22.6,25.1,90.1,10.9,13.3,81.7,2.02,3.26,62.1,0.37,0.27,0.29,0.1,1.84,3.37,2.4,0.11,6.48,Matches
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,0.2,50,75,66.7,1090,290,20,25,80,15,25,60,15,20,75,0,0,0,0,0,0,0,0,5,Matches
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,27.6,36.2,43.8,82.5,712.8,267.4,13.3,14.7,89.9,17.9,19.9,90.2,4.46,7.79,57.2,0.04,0.03,0.03,0,0.29,2.68,0.36,0.18,2.68,Matches
70,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,10.7,25.7,32.3,79.5,378.9,123.6,14.6,16.1,90.7,8.97,10.9,82.1,1.21,1.78,68.4,0,0.02,0.02,-0.02,0.28,1.78,0.19,0.09,1.78,Matches
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22,2002,0.5,12,14,85.7,106,56,6,8,75,2,2,100,0,0,,0,0,0,0,0,0,2,0,2,Matches
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,24.7,48.3,55.4,87.1,861.3,310.3,19.3,20.5,94.1,24.2,26.5,91.4,3.56,6.44,55.3,0,0.01,0.02,-0.01,0.28,4.09,0.4,0,3.97,Matches
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,7.1,9.44,13.9,67.7,115.8,19.4,6.2,7.61,81.5,1.69,2.96,57.1,0.42,0.56,75,0.14,0.07,0.06,0.07,0.7,0.14,0.56,0,0.99,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,3.5,58.9,65.1,90.4,1006.3,416,25.7,25.7,100,27.4,28,98,4.29,9.14,46.9,0,0.03,0.03,-0.03,0.29,3.14,0.29,0,2,Matches
75,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,1.8,39.4,47.2,83.5,769.4,165.6,12.8,13.9,92,20.6,21.7,94.9,4.44,8.33,53.3,0,0,0,0,0,3.89,0,0,2.78,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34,1990,0.7,21.4,41.4,51.7,332.9,67.1,14.3,25.7,55.6,5.71,8.57,66.7,1.43,2.86,50,0,0.14,0.14,-0.14,2.86,1.43,0,0,4.29,Matches
77,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,13.2,55.1,61.6,89.4,1104.7,455,16.1,17,94.7,32.8,35.1,93.5,5.76,8.71,66.1,0,0,0.01,0,0,1.97,0.08,0,2.58,Matches
78,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,0.1,130,130,100,2210,660,70,70,100,40,40,100,20,20,100,0,1,0,-1,10,40,10,10,60,Matches
79,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,2002,8.5,26.4,32.7,80.6,466.2,118.5,11.3,13.2,85.7,11.2,12.6,88.8,2.82,4.35,64.9,0.35,0.19,0.08,0.16,1.53,2.35,2.12,0.35,4.94,Matches
80,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,33,21.9,33.5,65.5,514.9,238.2,5.79,7.12,81.3,11.1,14.1,79.1,4.94,11.1,44.5,0,0.03,0.03,-0.03,0.33,4,0.45,0.06,3.39,Matches
81,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,1998,5,18.6,23.4,79.5,300.8,59.8,9,11,81.8,7.6,8.8,86.4,1.2,2.2,54.5,0,0.02,0.02,-0.02,0.6,1.8,0.6,0.2,2.4,Matches
82,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,1998,12.1,29.7,39,76.1,445,124,16.2,18.3,88.7,10.1,12.8,78.7,2.07,3.97,52.1,0.17,0.11,0.11,0.06,1.57,2.89,1.16,0.17,4.79,Matches
83,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,1,28,50,56,749,588,8,8,100,13,14,92.9,7,28,25,0,0.1,0,-0.1,1,0,0,0,0,Matches
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,26.3,55.1,74.9,73.5,1060.9,432.1,24,26.8,89.8,22.4,29.3,76.4,7.72,15.9,48.6,0.23,0.28,0.28,-0.05,1.98,7.87,2.47,0.76,8.82,Matches
85,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,15.2,17.3,24.8,69.8,252.9,34.3,9.61,10.9,88.5,6.18,8.68,71.2,0.72,1.78,40.7,0.13,0.17,0.14,-0.04,1.58,0.53,0.46,0.07,1.45,Matches
